PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
ABBOTT (ROBERT),259,PLAYGROUND,OUTDOOR,1178619.54153,1841712.82415,"(41.720959999999998, -87.621351000000004)"
ABBOTT (ROBERT),259,SENIOR CENTER,INDOOR,1178491.24651,1841782.61436,"(41.721153999999999, -87.621819000000002)"
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,1178475.8803999999,1841904.3723200001,"(41.721488999999998, -87.621871999999996)"
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,1178306.43389,1841899.4609099999,"(41.721479000000002, -87.622493000000006)"
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,1178678.4794000001,1841175.63001,"(41.719484000000001, -87.621151999999995)"
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,1178160.31705,1841164.5791799999,"(41.719465999999997, -87.623050000000006)"
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,1178080.5052100001,1841614.59436,"(41.720702000000003, -87.623328999999998)"
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,1178125.93655,1841614.59436,"(41.720700999999998, -87.623161999999994)"
ABBOTT (ROBERT),259,TRACK,OUTDOOR,1178253.6354400001,1840687.55061,"(41.718153999999998, -87.622722999999993)"
ABBOTT (ROBERT),259,VOLLEYBALL,OUTDOOR,1178064.5429700001,1841736.15383,"(41.721035999999998, -87.623383000000004)"
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,1169422.3975200001,1829549.48758,"(41.687784999999998, -87.655389)"
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,1169493.6477099999,1829549.48758,"(41.687784000000001, -87.655128000000005)"
ADA (SAWYER GARRETT),45,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1169846.94031,1829819.97523,"(41.688518000000002, -87.653827000000007)"
ADA (SAWYER GARRETT),45,FITNESS CENTER,INDOOR,1169213.8378999999,1829674.5824800001,"(41.688133000000001, -87.656148999999999)"
ADA (SAWYER GARRETT),45,GYMNASIUM,INDOOR,1169259.84831,1829709.55058,"(41.688228000000002, -87.65598)"
ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR,1169613.64747,1829930.1124799999,"(41.688825999999999, -87.654678000000004)"
ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR,1170170.5223399999,1829648.8623800001,"(41.688042000000003, -87.652647000000002)"
ADA (SAWYER GARRETT),45,POOL (OUTDOOR),OUTDOOR,1169233.02257,1829836.36234,"(41.688577000000002, -87.656074000000004)"
ADA (SAWYER GARRETT),45,PLAYGROUND,OUTDOOR,1169471.1474299999,1830010.7373200001,"(41.689050000000002, -87.655197000000001)"
ADA (SAWYER GARRETT),45,SPRAY FEATURE,OUTDOOR,1169296.7727699999,1829890.7372300001,"(41.688724999999998, -87.655839)"
ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR,1169619.2724599999,1829648.8623800001,"(41.688054000000001, -87.654666000000006)"
ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR,1170161.1473600001,1829937.61246,"(41.688834, -87.652672999999993)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169096.1478500001,1829556.9875700001,"(41.687812999999998, -87.656582999999998)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169144.89775,1829556.9875700001,"(41.687812000000001, -87.656405000000007)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169193.6476499999,1829558.86256,"(41.687815999999998, -87.656226000000004)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169240.52256,1829558.86256,"(41.687815000000001, -87.656054999999995)"
ADAMS (GEORGE & ADELE),1019,PLAYGROUND,OUTDOOR,1168844.82158,1913034.3862300001,"(41.916890000000002, -87.655091999999996)"
ADAMS (GEORGE & ADELE),1019,WATER PLAYGROUND,OUTDOOR,1168833.0207499999,1913119.27615,"(41.917122999999997, -87.655133000000006)"
AIELLO (JOHN),1280,PLAYGROUND PARK,OUTDOOR,1135835.1989500001,1913620.6960799999,"(41.919150999999999, -87.776356000000007)"
ALGONQUIN,1161,PLAYGROUND PARK,OUTDOOR,1157955.6258400001,1919624.3802700001,"(41.935201999999997, -87.694918000000001)"
ALTGELD (JOHN),206,BASKETBALL COURT,OUTDOOR,1158626.4227199999,1897407.80856,"(41.874225000000003, -87.693062999999995)"
ALTGELD (JOHN),206,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1158841.44952,1897443.1716799999,"(41.874316999999998, -87.692272000000003)"
ALTGELD (JOHN),206,FITNESS CENTER,INDOOR,1158551.92451,1897478.7418200001,"(41.874420999999998, -87.693333999999993)"
ALTGELD (JOHN),206,GYMNASIUM,INDOOR,1158566.8142500001,1897441.51715,"(41.874318000000002, -87.693280999999999)"
ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR,1158933.1872,1897566.24755,"(41.874653000000002, -87.691931999999994)"
ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR,1158939.92931,1897370.72694,"(41.874116000000001, -87.691913)"
ALTGELD (JOHN),206,POOL (OUTDOOR),OUTDOOR,1158543.83201,1897333.6456500001,"(41.874023000000001, -87.693368000000007)"
ALTGELD (JOHN),206,PLAYGROUND,OUTDOOR,1158556.4733899999,1897578.8889299999,"(41.874695000000003, -87.693314999999998)"
ALTGELD (JOHN),206,BASEBALL SR,OUTDOOR,1158711.5413200001,1897552.7633199999,"(41.874620999999998, -87.692746)"
AMUNDSEN (ROALD),129,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1135335.16386,1911724.0072900001,"(41.913955000000001, -87.778238999999999)"
AMUNDSEN (ROALD),129,FITNESS CENTER,INDOOR,1134788.7597699999,1911509.8548300001,"(41.913376999999997, -87.780251000000007)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1134794.1452599999,1911720.9731699999,"(41.913955999999999, -87.780225999999999)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1135079.70046,1911902.2526700001,"(41.914448999999998, -87.779173)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1135560.97279,1911883.0017200001,"(41.914386999999998, -87.777405000000002)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1135568.9941,1911459.4819,"(41.913224999999997, -87.777386000000007)"
AMUNDSEN (ROALD),129,PLAYGROUND,OUTDOOR,1134980.2374,1911523.65139,"(41.913412000000001, -87.779546999999994)"
AMUNDSEN (ROALD),129,SPRAY FEATURE,OUTDOOR,1135007.50933,1911481.94117,"(41.913297, -87.779448000000002)"
AMUNDSEN (ROALD),129,BASEBALL SR,OUTDOOR,1135158.3082399999,1911504.40044,"(41.913356, -87.778893999999994)"
ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,1178421.6990799999,1880016.74196,"(41.826073999999998, -87.620913999999999)"
ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,1178423.7059599999,1879940.0866,"(41.825864000000003, -87.620908999999997)"
ANDERSON (LOUIS),1020,GYMNASIUM,INDOOR,1178429.87524,1880090.42292,"(41.826276, -87.620881999999995)"
ANDERSON (LOUIS),1020,PLAYGROUND,OUTDOOR,1178496.7491200001,1879958.5481799999,"(41.825913, -87.620639999999995)"
ANDERSON (LOUIS),1020,SPRAY FEATURE,OUTDOOR,1178494.7422400001,1879904.7690900001,"(41.825764999999997, -87.620649)"
ANDERSONVILLE,1078,PLAYGROUND PARK,OUTDOOR,1164812.5579899999,1934962.8673099999,"(41.977148999999997, -87.669281999999995)"
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,1147334.57195,1871246.4557,"(41.802658000000001, -87.735190000000003)"
ARCHER (WILLIAM BEATTY),250,BASKETBALL COURT,OUTDOOR,1147443.93557,1871687.2750299999,"(41.803865999999999, -87.734778000000006)"
ARCHER (WILLIAM BEATTY),250,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1147413.8755900001,1872098.31981,"(41.804994000000001, -87.734877999999995)"
ARCHER (WILLIAM BEATTY),250,FITNESS CENTER,INDOOR,1147357.01055,1871551.41178,"(41.803494000000001, -87.735100000000003)"
ARCHER (WILLIAM BEATTY),250,GYMNASIUM,INDOOR,1147336.94038,1871579.8441399999,"(41.803573, -87.735173000000003)"
ARCHER (WILLIAM BEATTY),250,HORSESHOE COURT,OUTDOOR,1147674.6007999999,1871207.75761,"(41.802545000000002, -87.733943999999994)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147585.2669800001,1872001.9056299999,"(41.804726000000002, -87.734251999999998)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147581.9018300001,1872138.1894799999,"(41.805100000000003, -87.734261000000004)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147280.7315,1872309.80626,"(41.805577, -87.735360999999997)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147524.69624,1871406.2946200001,"(41.803092999999997, -87.734488999999996)"
ARCHER (WILLIAM BEATTY),250,PLAYGROUND,OUTDOOR,1147593.6797,1871594.7365000001,"(41.803609000000002, -87.734230999999994)"
ARCHER (WILLIAM BEATTY),250,SPRAY FEATURE,OUTDOOR,1147567.3129499999,1871683.01782,"(41.803851000000002, -87.734325999999996)"
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,1147312.6992899999,1871848.7966799999,"(41.804310999999998, -87.735254999999995)"
ARCHER (WILLIAM BEATTY),250,TENNIS COURT,OUTDOOR,1147660.98009,1871419.75489,"(41.803127000000003, -87.733988999999994)"
ARCHER (WILLIAM BEATTY),250,ARTIFICIAL TURF FIELD,OUTDOOR,1147664.3452399999,1871300.29614,"(41.802799, -87.733980000000003)"
